Pb_Pb Mean Width Dist Flactutation Temp Kink eta_s Slope_low Slope_high Max Temp_peak Width_peak Asym_peak R
26.895 -0.1003 1.1268 0.9609 0.7399 0.1231 0.2501 0.1568 0.3558 -0.3438 0.0536 0.1257 0.059 -0.382 0.9718
22.025 -0.0093 1.3647 0.9499 1.8466 0.1341 0.1314 0.1223 -1.9902 0.5638 0.0627 0.2961 0.1097 -0.7956 0.3082
17.625 0.3936 0.5582 0.8215 1.9987 0.1242 0.1928 0.021 0.8193 1.3902 0.0108 0.1224 0.1404 0.4932 0.9239
26.295 -0.4046 1.4737 0.8725 1.9902 0.1311 0.1607 0.1523 0.6948 -0.8972 0.1674 0.2299 0.1089 0.758 0.8763
24.095 0.3774 0.5822 0.0557 1.0884 0.1403 0.2823 0.0134 -1.9918 -0.8388 0.0954 0.2649 0.0367 0.0268 0.8759
24.245 -0.9979 0.5808 1.2635 1.6927 0.1254 0.2615 0.0664 -1.5568 -0.4578 0.1602 0.1314 0.1475 0.7628 0.4209
29.745 -0.9027 1.3182 1.312 1.5108 0.1631 0.2807 0.1296 0.6902 -0.9242 0.0306 0.2395 0.025 -0.7244 0.4545
15.595 0.6231 0.7022 1.5848 0.6396 0.1534 0.2701 0.1615 0.7833 1.7082 0.089 0.1263 0.1482 -0.7804 0.4045
17.825 -0.6596 1.2568 0.1934 1.9443 0.1303 0.2241 0.17 -1.9408 -0.0002 0.1735 0.1581 0.0584 -0.746 0.968
16.485 -0.3068 1.4432 1.5695 0.5427 0.1227 0.1619 0.1954 -1.3332 1.9242 0.1107 0.1305 0.0358 0.6124 0.6673
23.705 0.1598 1.0092 1.3851 0.5741 0.1208 0.2732 0.1979 -0.0042 -0.5972 0.2487 0.1702 0.0308 -0.5756 0.4444
24.885 0.238 0.8452 1.3893 0.4432 0.1208 0.2386 0.146 0.1488 -0.3827 0.0123 0.2127 0.1315 0.7444 0.661
25.465 -0.2499 1.1852 0.0718 0.6948 0.1349 0.2085 0.1948 -1.8612 -0.9872 0.1944 0.2149 0.1301 -0.3172 0.4829
25.485 -0.1564 1.4822 0.2903 0.3446 0.1225 0.1377 0.0431 -0.9462 -0.3648 0.1206 0.2302 0.1491 0.6748 0.808
25.155 0.6749 0.9432 0.5036 1.9928 0.1205 0.1493 0.041 -0.6012 -0.4862 0.2067 0.1787 0.0282 0.422 0.5686
23.625 -0.9469 0.5028 0.2996 1.1266 0.152 0.14 0.1767 0.2688 -0.4202 0.0161 0.1674 0.046 -0.7972 0.9722
28.705 -0.8253 1.2562 1.6273 0.4747 0.1428 0.1374 0.0607 -0.1917 -0.6408 0.0432 0.1913 0.0426 0.3964 0.9071
10.235 -0.8908 0.6138 1.0544 1.7004 0.1218 0.2886 0.1864 0.3662 0.0493 0.1421 0.2901 0.0762 -0.3476 0.3548
14.095 0.3145 0.5082 0.2342 1.7777 0.1335 0.2091 0.0442 -0.1662 0.0583 0.2388 0.1254 0.1288 -0.6764 0.8927
21.105 -0.3621 1.1833 1.5729 0.773 0.1204 0.1837 0.0125 -0.5023 0.0703 0.1701 0.2972 0.0373 -0.7852 0.4983
24.605 0.3502 1.1918 0.2325 1.844 0.1239 0.1666 0.1678 -1.8672 -0.1637 0.0505 0.2045 0.1411 0.094 0.8822
26.495 0.5993 0.6708 1.6817 1.7123 0.1587 0.1896 0.1075 -1.4128 -0.9902 0.1658 0.2965 0.0281 -0.6516 0.3985
26.105 -0.5304 0.9342 0.0905 0.6914 0.125 0.2833 0.0412 -0.3177 -0.5702 0.1191 0.2147 0.1192 -0.5404 0.5396
22.835 0.2746 0.5128 1.5576 1.7981 0.1275 0.1366 0.1981 0.0122 -0.3693 0.2048 0.2241 0.1268 0.702 0.8514
23.025 0.697 1.4562 1.4488 1.1734 0.1244 0.2996 0.1143 -1.7968 0.0088 0.0726 0.2072 0.086 -0.1652 0.4944
20.225 -0.0306 1.4777 0.3498 0.4296 0.1271 0.2763 0.1416 0.1532 -0.1787 0.1784 0.2624 0.0327 -0.6428 0.9365
29.175 -0.459 0.9602 1.5032 1.8568 0.1334 0.1325 0.0449 0.4803 -0.3242 0.2114 0.2777 0.1284 -0.2556 0.6141
17.165 0.074 1.2242 1.2627 0.5376 0.1283 0.1308 0.0346 -1.8042 1.0753 0.0182 0.2198 0.1467 -0.678 0.8486
29.735 -0.912 1.4972 0.207 1.5644 0.1543 0.15 0.0389 0.4188 -0.6662 0.0377 0.2398 0.0434 0.746 0.3677
28.235 -0.9392 1.1442 1.4947 0.6285 0.1216 0.2961 0.0356 0.2643 0.4258 0.171 0.1836 0.027 0.1388 0.8784
