Pb_Pb Mean Width Dist Flactutation Temp Kink eta_s Slope_low Slope_high Max Temp_peak Width_peak Asym_peak R
25.262 -0.5825 0.9233 2.7272 1.5697 0.1562 0.2935 0.1064 -0.2837 -0.1423 0.0656 0.1418 0.1379 -0.3509 0.45
12.13 0.2835 1.0189 1.3938 1.2443 0.1545 0.1439 0.162 -1.7039 1.7363 0.044 0.2902 0.0414 0.7208 0.8848
12.658 0.2166 0.5677 4.7828 0.749 0.1375 0.2463 0.0181 0.1159 -0.9025 0.2399 0.2673 0.0483 -0.6808 0.9925
17.606 0.0307 0.5005 0.311 0.6708 0.1625 0.1527 0.0611 0.0373 0.4991 0.0389 0.1374 0.1275 -0.58 0.997
11.39 -0.4607 0.9777 2.1956 0.4161 0.1428 0.2582 0.1595 -0.3887 1.8947 0.2317 0.1501 0.0287 -0.0232 0.3397
19.882 -0.5036 1.0973 0.1381 1.9417 0.1636 0.1409 0.1808 0.3175 0.0689 0.187 0.1267 0.0619 -0.0091 0.6933
22.806 -0.5772 0.9153 2.2988 0.498 0.157 0.2905 0.1214 -1.8299 -0.1615 0.2197 0.2635 0.1122 0.7586 0.9775
27.786 -0.5568 0.7647 2.9748 0.8149 0.16 0.1696 0.1204 0.9967 0.1247 0.0597 0.2893 0.0706 0.7275 0.3484
18.178 -0.3977 1.2899 4.2827 1.0234 0.1608 0.2882 0.1888 -1.6409 -0.2875 0.1402 0.2872 0.0465 -0.6747 0.3159
27.166 0.6265 0.5041 3.7255 1.8472 0.1566 0.2965 0.1255 -0.5363 1.9697 0.2105 0.123 0.0446 -0.6565 0.8307
17.458 -0.1219 1.2565 4.4143 0.5106 0.1606 0.1745 0.0603 -1.8665 1.6559 0.066 0.2727 0.1441 -0.4888 0.6015
10.762 -0.0671 1.0483 0.4132 1.889 0.1409 0.2742 0.1891 -1.4693 1.3835 0.0421 0.122 0.1386 0.7506 0.6088
29.774 -0.2281 0.9897 1.2219 0.4889 0.1533 0.2834 0.1766 0.2353 1.5443 0.0178 0.2441 0.0874 -0.3032 0.7985
10.806 0.6041 0.5301 4.6069 1.6602 0.1534 0.1996 0.031 -1.1531 0.0473 0.1896 0.1288 0.1422 0.4114 0.4741
21.73 -0.251 1.4167 4.7012 1.6452 0.1406 0.1469 0.1988 -0.1187 1.4687 0.2295 0.2609 0.0298 -0.316 0.7227
22.522 -0.65 1.1739 4.5912 1.1665 0.1373 0.2288 0.1847 -1.7777 -0.1123 0.1818 0.1369 0.1485 -0.4926 0.8364
28.662 -0.1191 0.8019 3.361 1.8349 0.1584 0.139 0.1326 -1.9235 -0.3673 0.1879 0.261 0.0535 0.7029 0.6541
28.718 -0.4509 0.7967 0.0339 1.1271 0.1515 0.2198 0.0612 -0.6377 -0.3967 0.2019 0.2702 0.1289 -0.6123 0.6736
27.034 -0.5408 1.1747 3.8395 0.4668 0.1535 0.1956 0.0681 0.9811 0.5135 0.0281 0.1322 0.1462 0.644 0.8338
15.534 -0.617 1.1827 2.2546 1.9937 0.1642 0.1424 0.1863 0.0415 1.0505 0.0472 0.2652 0.1276 -0.708 0.5776
26.142 -0.0399 0.9431 1.9981 0.3824 0.1501 0.1384 0.0625 -0.8981 1.2581 0.1832 0.1489 0.0271 -0.1323 0.7509
11.614 -0.2561 0.5035 3.3443 1.517 0.1638 0.2834 0.037 -0.8525 1.9763 0.0202 0.2611 0.0273 0.4344 0.4073
