"Slice" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"1" 1 0.007 0.617 0.459 0.355 0.771 0.943 0.321 0.675 0.161 0.077 0.247 0.711 0.305 0.653 0.113
"2" 1 0.037 0.417 0.669 0.895 0.193 0.021 0.281 0.657 0.157 0.863 0.573 0.385 0.651 0.063 0.423
"3" 1 0.057 0.469 0.615 0.905 0.223 0.551 0.089 0.433 0.771 0.243 0.957 0.505 0.041 0.355 0.569
"4" 1 0.061 0.385 0.517 0.931 0.577 0.315 0.245 0.935 0.903 0.453 0.401 0.107 0.717 0.927 0.465
"5" 1 0.085 0.857 0.883 0.039 0.803 0.735 0.493 0.339 0.601 0.703 0.629 0.203 0.459 0.037 0.673
"6" 1 0.117 0.111 0.545 0.045 0.145 0.531 0.757 0.415 0.085 0.797 0.221 0.531 0.839 0.115 0.483
"7" 1 0.121 0.071 0.351 0.233 0.363 0.779 0.827 0.911 0.439 0.111 0.933 0.627 0.721 0.603 0.769
"8" 1 0.145 0.299 0.859 0.747 0.079 0.441 0.805 0.555 0.573 0.385 0.211 0.995 0.381 0.411 0.959
"9" 1 0.165 0.173 0.727 0.203 0.543 0.391 0.123 0.575 0.311 0.931 0.845 0.663 0.873 0.881 0.815
"10" 1 0.187 0.783 0.567 0.251 0.991 0.257 0.505 0.967 0.813 0.213 0.593 0.945 0.407 0.675 0.861
"11" 1 0.203 0.375 0.283 0.003 0.281 0.223 0.231 0.211 0.841 0.089 0.495 0.267 0.841 0.273 0.285
"12" 1 0.231 0.627 0.075 0.763 0.793 0.495 0.163 0.467 0.049 0.523 0.115 0.227 0.635 0.445 0.913
"13" 1 0.257 0.057 0.971 0.561 0.429 0.641 0.671 0.767 0.863 0.039 0.299 0.439 0.495 0.241 0.033
"14" 1 0.277 0.655 0.083 0.983 0.913 0.415 0.587 0.831 0.695 0.563 0.815 0.373 0.371 0.081 0.175
"15" 1 0.295 0.779 0.055 0.333 0.323 0.289 0.849 0.607 0.019 0.479 0.961 0.327 0.253 0.795 0.195
"16" 1 0.303 0.501 0.385 0.395 0.035 0.859 0.867 0.959 0.789 0.955 0.397 0.283 0.261 0.511 0.303
"17" 1 0.329 0.497 0.329 0.085 0.521 0.373 0.341 0.529 0.965 0.623 0.675 0.037 0.081 0.973 0.787
"18" 1 0.343 0.599 0.371 0.135 0.857 0.101 0.719 0.057 0.741 0.827 0.043 0.585 0.541 0.469 0.833
"19" 1 0.373 0.531 0.837 0.419 0.389 0.869 0.885 0.095 0.291 0.883 0.875 0.753 0.141 0.499 0.131
"20" 1 0.391 0.975 0.021 0.521 0.049 0.353 0.375 0.519 0.641 0.817 0.007 0.853 0.473 0.305 0.389
"21" 1 0.413 0.305 0.653 0.945 0.973 0.783 0.119 0.117 0.443 0.285 0.749 0.905 0.747 0.631 0.519
"22" 1 0.435 0.021 0.469 0.067 0.311 0.745 0.189 0.011 0.721 0.553 0.479 0.937 0.221 0.709 0.643
"23" 1 0.449 0.557 0.597 0.119 0.095 0.995 0.791 0.145 0.667 0.185 0.131 0.197 0.605 0.769 0.707
"24" 1 0.475 0.325 0.145 0.833 0.627 0.595 0.991 0.843 0.381 0.353 0.551 0.551 0.993 0.865 0.009
"25" 1 0.497 0.815 0.877 0.311 0.889 0.261 0.933 0.281 0.255 0.043 0.715 0.793 0.539 0.297 0.341
"26" 1 0.501 0.273 0.637 0.785 0.175 0.077 0.645 0.133 0.125 0.267 0.195 0.131 0.599 0.959 0.367
"27" 1 0.539 0.663 0.113 0.503 0.461 0.435 0.611 0.491 0.275 0.613 0.995 0.967 0.951 0.203 0.981
"28" 1 0.541 0.683 0.221 0.975 0.665 0.097 0.301 0.067 0.487 0.995 0.691 0.865 0.295 0.579 0.243
"29" 1 0.561 0.191 0.697 0.859 0.641 0.889 0.209 0.599 0.103 0.729 0.889 0.003 0.507 0.531 0.271
"30" 1 0.587 0.565 0.175 0.273 0.747 0.971 0.267 0.717 0.831 0.325 0.273 0.883 0.881 0.055 0.551
"31" 1 0.605 0.869 0.763 0.681 0.269 0.133 0.737 0.803 0.073 0.905 0.379 0.777 0.923 0.829 0.409
"32" 1 0.625 0.227 0.435 0.735 0.705 0.827 0.945 0.353 0.929 0.973 0.355 0.813 0.349 0.011 0.603
"33" 1 0.647 0.153 0.017 0.183 0.953 0.565 0.567 0.169 0.181 0.643 0.619 0.315 0.573 0.133 0.141
"34" 1 0.665 0.921 0.409 0.591 0.415 0.193 0.975 0.799 0.417 0.307 0.083 0.067 0.339 0.175 0.525
"35" 1 0.687 0.201 0.753 0.161 0.617 0.637 0.639 0.737 0.023 0.131 0.425 0.093 0.067 0.557 0.747
"36" 1 0.713 0.825 0.709 0.863 0.013 0.177 0.383 0.397 0.893 0.151 0.511 0.821 0.795 0.189 0.441
"37" 1 0.721 0.883 0.799 0.657 0.127 0.817 0.021 0.317 0.361 0.671 0.025 0.601 0.217 0.755 0.727
"38" 1 0.757 0.001 0.265 0.621 0.241 0.001 0.919 0.379 0.475 0.415 0.537 0.723 0.033 0.393 0.219
"39" 1 0.775 0.249 0.259 0.285 0.879 0.693 0.529 0.265 0.945 0.379 0.071 0.455 0.761 0.919 0.093
"40" 1 0.785 0.747 0.957 0.473 0.695 0.679 0.451 0.443 0.329 0.777 0.161 0.409 0.963 0.147 0.041
